MCC,MNC,Brand,Operator,Status
312,700,,"Wireless Partners, LLC",Operational
313,800,,Wireless Technologies of Nebraska,Not operational
310,420,World Mobile,"World Mobile Networks, LLC",Operational
311,530,,WorldCell Solutions LLC,Operational
312,260,,WorldCell Solutions LLC,Unknown
312,510,,WUE Inc.,Unknown
314,480,,Xcel Energy Services Inc.,Unknown
314,200,,"XF Wireless Investments, LLC",Unknown
314,240,,"XF Wireless Investments, LLC",Unknown
310,660,T-Mobile,,Not operational
